seed,source_total,scenario,error_mode,saved_seconds_per_source,v200_success,v200_seconds_per_source,v200_total_virtual_time_s,v200_runtime_s,v200_movement_time_s,v200_measurement_time_s,v200_switching_time_s,v200_clearing_time_s,v200_tail_after_last_clear_s,v201_success,v201_seconds_per_source,v201_total_virtual_time_s,v201_runtime_s,v201_movement_time_s,v201_measurement_time_s,v201_switching_time_s,v201_clearing_time_s,v201_tail_after_last_clear_s
2026098302,16,min_radius,negative,16.06894141747287,True,194.9599440936826,3119.3591054989215,4.3439999999973224,2434.3591054989215,500.0,96.0,89.0,0.0,True,178.89100267620972,2862.2560428193556,21.296000000002095,2269.256042819356,430.0,83.0,80.0,0.0
2026098303,12,min_radius,negative,7.965183355307829,True,276.10583455047185,3313.2700146056623,4.344000000004598,2572.2700146056623,565.0,110.0,66.0,311.5920633275505,True,268.140651195164,3217.6878143419685,22.281000000002678,2494.6878143419694,550.0,101.0,72.0,0.0
2026098304,14,min_radius,negative,-2.1197938448018476,True,211.65161935912445,2963.1226710277424,4.046999999998661,2263.1226710277424,520.0,101.0,79.0,0.0,True,213.7714132039263,2992.799784854968,6.203000000001339,2278.799784854969,535.0,103.0,76.0,0.0
2026098305,12,min_radius,negative,15.958960068685428,True,287.56418753129486,3450.770250375538,3.3439999999973224,2651.7702503755368,615.0,118.0,66.0,0.0,True,271.60522746260943,3259.262729551313,6.453000000001339,2439.262729551313,630.0,118.0,72.0,0.0
2026098306,12,min_radius,negative,1.324663216352917,True,257.1652528437273,3085.983034124727,3.5469999999986612,2322.9830341247275,585.0,112.0,66.0,0.0,True,255.84058962737436,3070.0870755284923,6.296999999998661,2275.087075528492,605.0,115.0,75.0,0.0
2026098307,13,min_radius,negative,0.02988046572900771,True,217.89960865988726,2832.6949125785345,2.7180000000007567,2148.6949125785345,515.0,98.0,71.0,0.0,True,217.86972819415826,2832.306466524057,4.171999999998661,2124.3064665240577,535.0,102.0,71.0,0.0
2026098308,16,min_radius,negative,-9.322221045719829,True,202.38430714872817,3238.1489143796507,3.7809999999954016,2562.148914379651,495.0,95.0,86.0,0.0,True,211.706528194448,3387.304451111168,6.610000000000582,2666.304451111169,535.0,103.0,83.0,0.0
2026098309,10,min_radius,negative,-3.703404275933565,True,297.47860287790843,2974.786028779084,3.0319999999992433,2177.786028779084,620.0,118.0,59.0,0.0,True,301.182007153842,3011.82007153842,5.421999999998661,2235.82007153842,605.0,112.0,59.0,0.0
2026098310,10,min_radius,negative,-15.20195342068223,True,307.879812234892,3078.7981223489196,3.514999999999418,2301.7981223489196,610.0,117.0,50.0,0.0,True,323.0817656555742,3230.817656555742,7.5310000000026776,2415.8176565557415,635.0,121.0,59.0,0.0
2026098311,12,min_radius,negative,-0.15043810033597538,True,258.6329776867887,3103.5957322414647,3.375,2353.595732241465,575.0,109.0,66.0,0.0,True,258.7834157871247,3105.400989445496,5.859000000004016,2339.400989445496,585.0,112.0,69.0,0.0
