clearing_s,clears,enroute_measures,failures,fallbacks,measurement_s,measures,move_m,movement_s,noise,route_end,scenario,seconds_per_source,seed,source_count,stations,success,switching_s,time_accounting_residual_s,total_time_s,variant,wall_s
64.0,14,,3,0,1280.0,256,25535.023964013257,5107.0047928026515,seeded,False,random,608.0004357093321,2026098234,11,21,True,237.0,1.8189894035458565e-12,6688.004792802653,baseline,5.567801300014253
64.0,14,4,3,0,1265.0,253,21221.830114409968,4244.366022881993,seeded,False,random,527.8514566256358,2026098234,11,21,True,233.0,9.094947017729282e-13,5806.366022881994,candidate,1.214483100004145
60.0,12,,0,0,1395.0,279,22950.13774283664,4590.027548567328,seeded,False,random,525.252295713944,2026098235,12,21,True,258.0,0.0,6303.027548567328,baseline,4.43549200000416
66.0,14,10,2,1,1405.0,281,21848.64570524194,4369.729141048389,seeded,False,random,508.6440950873657,2026098235,12,21,True,263.0,0.0,6103.729141048389,candidate,1.9630362000025343
76.0,16,,2,0,970.0,194,21854.454309865796,4370.890861973159,seeded,False,random,399.4207758552257,2026098236,14,21,True,175.0,9.094947017729282e-13,5591.89086197316,baseline,7.841505700009293
79.0,17,8,3,0,995.0,199,21784.20571278119,4356.841142556236,seeded,False,random,400.98865303973116,2026098236,14,21,True,183.0,0.0,5613.841142556236,candidate,1.7167663000000175
128.0,32,,16,2,625.0,125,14836.58760805185,2967.31752161037,seeded,False,random,239.89484510064818,2026098237,16,8,True,118.0,9.094947017729282e-13,3838.317521610371,baseline,5.28206169999612
95.0,21,5,5,1,685.0,137,14496.554617577225,2899.3109235154457,seeded,False,random,238.01943271971535,2026098237,16,8,True,129.0,0.0,3808.3109235154457,candidate,1.8101458000019193
83.0,19,,6,1,1365.0,273,27759.50293077857,5551.900586155713,seeded,False,random,557.9923527812086,2026098238,13,21,True,254.0,-1.8189894035458565e-12,7253.900586155712,baseline,3.91496759999427
83.0,19,10,6,1,1430.0,286,24292.19679428638,4858.439358857277,seeded,False,random,510.8030276044059,2026098238,13,21,True,269.0,0.0,6640.439358857277,candidate,1.1583757000043988
76.0,16,,2,0,1135.0,227,22802.44429021011,4560.488858042023,seeded,False,random,427.1777755744303,2026098239,14,21,True,209.0,1.8189894035458565e-12,5980.488858042025,baseline,4.908515400005854
85.0,19,9,5,0,1185.0,237,23000.933874169623,4600.186774833925,seeded,False,random,434.9419124881377,2026098239,14,21,True,219.0,2.7284841053187847e-12,6089.186774833927,candidate,1.708811099990271
76.0,16,,2,0,1320.0,264,22288.885696197005,4457.777139239399,seeded,False,random,435.62693851710003,2026098240,14,21,True,245.0,1.8189894035458565e-12,6098.777139239401,baseline,3.767164499993669
82.0,18,8,4,1,1315.0,263,23073.4831353808,4614.6966270761595,seeded,False,random,446.69261621972566,2026098240,14,21,True,242.0,0.0,6253.6966270761595,candidate,1.3512858000030974
68.0,14,,1,0,1210.0,242,21971.341576697236,4394.268315339448,seeded,False,random,453.4052550261114,2026098241,13,21,True,222.0,0.0,5894.268315339448,baseline,4.152494599999045
68.0,14,10,1,0,1215.0,243,22736.16646626496,4547.233293252992,seeded,False,random,465.1717917886916,2026098241,13,21,True,217.0,-9.094947017729282e-13,6047.233293252991,candidate,1.7919192999979714
56.0,12,,2,0,1650.0,330,26255.987944234414,5251.197588846883,seeded,False,random,726.9197588846883,2026098242,10,21,True,312.0,0.0,7269.197588846883,baseline,2.4996244000067236
56.0,12,8,2,0,1735.0,347,23022.4060548053,4604.481210961058,seeded,False,random,672.1481210961058,2026098242,10,21,True,326.0,0.0,6721.481210961058,candidate,0.9763150000071619
56.0,12,,2,0,1390.0,278,21525.214657202607,4305.042931440521,seeded,False,random,601.0042931440521,2026098243,10,21,True,259.0,0.0,6010.042931440521,baseline,3.677465000000666
53.0,11,8,1,0,1560.0,312,21412.829236859827,4282.565847371964,seeded,False,random,618.9565847371964,2026098243,10,21,True,294.0,0.0,6189.565847371964,candidate,0.802394500002265
92.0,20,,4,1,885.0,177,19659.224553395874,3931.844910679174,seeded,False,random,316.86530691744844,2026098244,16,17,True,161.0,9.094947017729282e-13,5069.844910679175,baseline,6.405163200004608
83.0,17,8,1,0,1015.0,203,17982.01928036657,3596.4038560733156,seeded,False,random,305.08774100458214,2026098244,16,17,True,187.0,-9.094947017729282e-13,4881.403856073314,candidate,2.0718908999988344
74.0,16,,3,0,1180.0,236,23575.692333527204,4715.1384667054435,seeded,False,random,476.01065128503404,2026098245,13,21,True,219.0,-9.094947017729282e-13,6188.138466705443,baseline,5.437626799990539
71.0,15,7,2,0,1260.0,252,20470.74783677088,4094.1495673541754,seeded,False,random,435.4730436426289,2026098245,13,21,True,236.0,0.0,5661.149567354176,candidate,1.396034099991084
76.0,16,,2,0,1130.0,226,24736.035522538958,4947.207104507791,seeded,False,random,454.3719360362708,2026098246,14,21,True,208.0,9.094947017729282e-13,6361.207104507792,baseline,6.505835100004333
79.0,17,7,3,0,1205.0,241,24576.863825272194,4915.372765054437,seeded,False,random,458.8837689324599,2026098246,14,21,True,225.0,9.094947017729282e-13,6424.372765054438,candidate,1.9119281000021147
110.0,26,,10,2,1085.0,217,23442.384311366146,4688.47686227323,seeded,False,random,380.1548038920769,2026098247,16,19,True,199.0,9.094947017729282e-13,6082.476862273231,baseline,8.32303490000777
107.0,25,7,9,2,935.0,187,20307.026308835175,4061.405261767034,seeded,False,random,329.7753288604398,2026098247,16,13,True,173.0,2.7284841053187847e-12,5276.405261767037,candidate,2.6702103999996325
77.0,17,,4,1,1215.0,243,27359.974469610737,5471.994893922148,seeded,False,random,537.6149918401652,2026098248,13,21,True,225.0,0.0,6988.994893922148,baseline,6.2732526999898255
77.0,17,9,4,1,1360.0,272,25131.01835001577,5026.203670003151,seeded,False,random,516.4772053848579,2026098248,13,21,True,251.0,1.8189894035458565e-12,6714.203670003153,candidate,2.580016499996418
98.0,22,,6,1,810.0,162,23111.28839880167,4622.257679760336,seeded,False,random,354.70360498502095,2026098249,16,15,True,145.0,-9.094947017729282e-13,5675.257679760335,baseline,8.585237599996617
89.0,19,8,3,1,950.0,190,22294.62264804129,4458.924529608259,seeded,False,random,354.49528310051625,2026098249,16,19,True,174.0,9.094947017729282e-13,5671.92452960826,candidate,1.8587755000044126
78.0,16,,1,0,1045.0,209,24467.66093574274,4893.53218714855,seeded,False,random,413.8354791432366,2026098250,15,21,True,191.0,-9.094947017729282e-13,6207.532187148549,baseline,8.024776500009466
84.0,18,8,3,0,1185.0,237,21415.690115099194,4283.138023019838,seeded,False,random,384.9425348679892,2026098250,15,21,True,222.0,0.0,5774.138023019838,candidate,1.6129991000052541
96.0,22,,7,1,1080.0,216,26377.110066716505,5275.422013343301,seeded,False,random,443.29480088955347,2026098251,15,21,True,198.0,9.094947017729282e-13,6649.422013343302,baseline,6.436312900012126
84.0,18,6,3,0,1080.0,216,21977.125183351018,4395.425036670204,seeded,False,random,383.7616691113469,2026098251,15,21,True,197.0,0.0,5756.425036670204,candidate,2.0203183999983594
66.0,14,,2,0,1115.0,223,20014.144235571745,4002.8288471143496,seeded,False,random,448.98573725952906,2026098252,12,21,True,204.0,-9.094947017729282e-13,5387.828847114349,baseline,7.505990700010443
75.0,17,6,5,1,1185.0,237,20200.063732935898,4040.01274658718,seeded,False,random,459.917728882265,2026098252,12,21,True,219.0,0.0,5519.01274658718,candidate,1.9872646000003442
66.0,14,,2,1,1130.0,226,19906.56689667506,3981.3133793350116,seeded,False,random,448.6094482779177,2026098253,12,21,True,206.0,9.094947017729282e-13,5383.3133793350125,baseline,6.911707300008857
66.0,14,6,2,0,1200.0,240,19327.52344668073,3865.504689336146,seeded,False,random,446.1253907780122,2026098253,12,21,True,222.0,9.094947017729282e-13,5353.504689336147,candidate,1.6007213999982923
76.0,16,,2,0,1215.0,243,21530.339488927584,4306.067897785518,seeded,False,random,415.8619926989656,2026098254,14,21,True,225.0,9.094947017729282e-13,5822.067897785519,baseline,6.301151499996195
82.0,18,10,4,1,1185.0,237,19874.656390161144,3974.931278032228,seeded,False,random,389.99509128801634,2026098254,14,21,True,218.0,9.094947017729282e-13,5459.931278032229,candidate,2.1144359999889275
68.0,14,,1,0,1155.0,231,22629.369445027656,4525.873889005532,seeded,False,random,458.6056837696563,2026098255,13,21,True,213.0,0.0,5961.873889005532,baseline,5.937324699989404
71.0,15,8,2,0,1325.0,265,23868.889462773826,4773.777892554765,seeded,False,random,493.13676096575114,2026098255,13,21,True,241.0,0.0,6410.777892554765,candidate,1.924291400006041
50.0,10,,0,0,1315.0,263,21701.010953614255,4340.20219072285,seeded,False,random,594.7202190722852,2026098256,10,21,True,242.0,1.8189894035458565e-12,5947.202190722852,baseline,4.710273199991207
71.0,17,6,7,1,1465.0,293,21224.46580649584,4244.893161299167,seeded,False,random,605.8893161299168,2026098256,10,21,True,278.0,0.0,6058.893161299167,candidate,1.3480742999963695
53.0,11,,1,0,1435.0,287,22213.862777757553,4442.772555551511,seeded,False,random,619.8772555551511,2026098257,10,21,True,268.0,0.0,6198.772555551511,baseline,3.8432385999913095
